sh050m,sh100m,sh500m,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate,UnemploymentRate,DEM,GOP
0.46,0.51,0.65,49813.0,30.1,8.3,13.3,28.3,6.0,28997,48564
0.57,0.67,0.87,37358.0,-3.3,10.5,13.1,13.4,5.2,6383,14231
0.59,0.63,0.87,43453.0,-8.5,8.8,11.8,22.0,5.3,3537,3930
0.53,0.67,0.86,40653.0,4.6,7.2,8.5,15.8,4.4,515,2795
0.47,0.54,0.67,50125.0,31.5,9.8,12.1,22.7,4.9,62597,101888
0.4,0.47,0.58,52989.0,32.3,9.5,9.7,27.8,4.6,124725,191141
0.39,0.42,0.82,51041.0,-1.0,10.5,6.1,45.7,4.5,91936,53777
0.52,0.62,0.79,33092.0,9.7,9.9,13.8,12.6,5.2,5091,13758
0.7,0.74,0.89,38900.0,-14.4,9.1,7.4,12.7,5.1,651,2542
0.61,0.68,0.9,33721.0,-7.6,11.1,13.1,13.8,5.2,3526,4849
0.48,0.53,0.63,51770.0,35.9,9.4,10.7,29.3,4.6,71066,101681
0.48,0.58,0.72,39629.0,19.7,10.2,14.2,19.4,5.8,61958,107710
0.42,0.47,0.59,55917.0,21.9,8.1,12.2,33.0,4.8,30158,53182
0.62,0.64,0.73,45886.0,8.1,12.0,7.4,28.8,5.1,623006,333666
0.34,0.39,0.51,63892.0,4.2,9.7,10.1,33.3,3.2,18949,21885
0.55,0.59,0.78,67967.0,25.8,10.3,9.8,28.2,4.5,10849,34221
0.38,0.42,0.66,58009.0,7.2,14.1,9.1,30.6,4.0,23711,71788
0.5,0.64,0.73,37689.0,20.4,12.6,11.2,11.4,5.1,3953,9342
0.45,0.5,0.68,51312.0,19.4,12.8,6.0,33.8,4.3,329579,195091
0.42,0.49,0.6,50716.0,36.2,12.9,6.4,20.5,5.0,85287,50252
0.46,0.52,0.62,57607.0,18.3,10.4,10.1,35.7,4.7,371411,270762
0.49,0.54,0.65,46326.0,31.6,10.2,12.0,23.4,5.1,89998,141943
0.5,0.54,0.66,49974.0,16.9,9.0,12.2,31.0,4.3,233327,238746
0.55,0.61,0.71,46289.0,25.2,11.6,10.3,20.0,5.5,117182,157216
0.56,0.69,0.83,37526.0,8.0,11.5,13.4,12.4,6.4,9920,21873
0.43,0.49,0.68,78544.0,36.0,9.3,8.4,43.7,3.8,43037,88633
0.4,0.54,0.65,45509.0,27.8,10.1,10.2,20.3,5.8,66812,70248
0.47,0.5,0.71,62668.0,18.5,11.5,8.2,28.1,4.5,18398,65126
0.43,0.47,0.58,55088.0,26.3,7.1,13.5,34.7,4.5,97676,124098
0.48,0.52,0.68,61253.0,13.5,10.3,7.4,38.2,4.3,105611,109265
0.42,0.5,0.62,56568.0,51.8,4.0,14.9,31.1,7.2,22631,52722
0.5,0.63,0.84,40572.0,5.9,10.6,12.6,14.7,4.9,3955,14281
0.62,0.69,0.89,40180.0,-11.0,11.3,11.4,7.4,5.4,2149,6923
0.68,0.74,0.88,43795.0,4.6,9.8,15.8,8.3,4.3,1014,4567
0.44,0.5,0.66,45356.0,26.1,9.5,13.1,23.6,5.1,108793,142763
0.59,0.64,0.85,56158.0,9.4,10.8,8.4,18.4,4.1,4348,10507
0.4,0.46,0.74,54686.0,33.6,12.2,9.2,28.4,4.3,6861,25695
0.59,0.68,0.86,34787.0,0.3,9.6,13.5,11.7,5.1,2261,8630
0.64,0.76,0.93,37954.0,-1.5,13.7,12.2,9.7,6.4,1434,5492
0.7,0.78,0.92,33318.0,-17.0,15.8,10.0,9.9,5.2,696,1873
0.67,0.77,0.93,36873.0,3.9,13.4,12.0,10.1,5.2,607,3356
0.6,0.68,0.9,35452.0,-2.2,8.8,9.7,12.3,7.7,650,775
0.55,0.77,0.92,40683.0,-6.8,9.5,9.6,20.9,6.8,7965,7691
0.67,0.76,0.9,43370.0,-4.1,10.6,9.6,12.8,4.8,684,6130
0.65,0.7,0.86,54893.0,20.2,13.9,7.9,17.6,4.7,6580,21105
0.67,0.73,0.88,52497.0,8.3,12.9,8.9,19.5,5.1,8204,29879
0.6,0.71,0.91,32644.0,-6.4,13.4,13.8,12.0,8.2,2098,3734
0.64,0.7,0.88,39174.0,-1.4,12.9,11.6,11.8,6.1,1041,5408
0.64,0.77,0.9,38115.0,-8.0,13.5,10.6,25.7,5.9,34383,22589
0.62,0.73,0.92,41447.0,12.9,10.0,11.2,17.2,7.9,1094,3717
0.68,0.77,0.91,37675.0,-4.0,12.6,10.9,8.2,6.7,619,5561
0.64,0.7,0.91,33676.0,4.4,11.8,12.4,15.2,5.2,2504,3679
0.46,0.5,0.76,77244.0,22.3,14.6,7.2,32.6,4.8,4010,10513
0.45,0.53,0.89,42083.0,16.0,12.1,7.2,27.4,5.7,8812,14476
0.69,0.74,0.91,37410.0,-4.0,14.1,11.7,12.6,7.7,4730,4491
0.7,0.78,0.9,46141.0,9.3,10.6,10.8,11.4,5.6,2566,6717
0.64,0.73,0.92,33478.0,-25.1,7.6,10.2,9.4,5.6,1178,829
0.42,0.46,0.69,53130.0,-8.9,15.0,6.7,24.5,5.7,5914,12287
0.64,0.74,0.9,32970.0,0.4,12.3,14.5,14.1,4.8,1023,2661
0.62,0.73,0.88,50598.0,10.0,13.0,8.6,20.6,6.0,12422,29983
0.7,0.75,0.9,53740.0,6.8,10.9,10.1,20.8,4.8,4769,20860
0.65,0.72,0.89,38948.0,-32.1,8.9,7.6,10.5,5.6,1004,2950
0.47,0.5,0.79,52746.0,3.7,14.0,8.3,33.2,5.2,58998,43649
0.12,0.14,0.43,44097.0,-108.2,18.6,3.7,33.4,8.3,593,746
0.76,0.83,0.93,37345.0,-2.5,11.9,12.1,9.8,6.3,1612,6457
0.55,0.6,0.8,78668.0,21.5,11.9,6.1,37.0,4.2,25203,80611
0.46,0.65,0.86,36692.0,5.7,10.9,5.8,42.7,5.5,29514,12691
0.62,0.73,0.92,27648.0,-21.4,11.2,13.2,7.9,10.3,697,566
0.47,0.51,0.75,44598.0,14.4,15.8,5.7,19.5,6.6,75908,11740
0.67,0.77,0.92,34777.0,-12.4,14.6,13.4,11.1,6.1,685,1724
0.46,0.5,0.73,70950.0,5.3,12.7,5.6,46.5,4.6,159416,152602
0.63,0.73,0.92,38704.0,-5.1,13.2,9.8,13.2,5.8,4090,9575
0.65,0.72,0.91,34931.0,-3.6,13.9,10.7,12.5,5.2,3460,9892
0.49,0.56,0.82,74908.0,17.7,12.8,6.1,35.1,4.6,18863,43060
0.65,0.7,0.9,35518.0,4.1,12.4,11.1,15.5,5.4,1752,4175
0.61,0.68,0.84,71114.0,12.3,11.6,7.3,29.8,5.0,16572,42513
0.68,0.79,0.91,44014.0,-7.1,9.2,9.1,10.3,5.9,1419,3632
0.66,0.74,0.92,34211.0,-4.8,13.3,11.0,13.7,6.0,2835,4539
0.69,0.74,0.89,36213.0,5.5,10.1,11.7,13.9,5.0,965,5047
0.64,0.71,0.87,61229.0,10.6,10.4,8.4,30.4,4.7,1444,9880
0.63,0.72,0.91,36136.0,-16.3,14.1,11.8,14.6,6.6,4104,6009
0.45,0.49,0.72,56053.0,8.3,15.0,6.1,43.4,5.4,239131,47531
0.65,0.75,0.93,35779.0,-13.4,10.4,11.1,13.7,7.2,1836,5021
0.66,0.73,0.91,40591.0,-11.2,7.9,10.0,11.3,5.8,1860,1941
0.58,0.66,0.9,35750.0,-15.1,13.4,10.7,21.4,6.8,23224,10227
0.51,0.55,0.77,59665.0,5.7,12.6,6.9,27.1,5.5,30971,24803
0.65,0.74,0.93,26934.0,-15.4,12.8,12.9,15.6,6.8,2165,2552
0.6,0.68,0.84,35892.0,-23.5,13.3,8.0,8.8,4.3,156,1006
0.59,0.63,0.85,63776.0,21.4,13.7,7.4,20.1,4.8,4851,17865
0.68,0.81,0.93,37131.0,-5.9,11.5,13.7,10.8,6.5,2507,5269
0.62,0.76,0.93,32495.0,-3.7,13.4,12.1,12.4,7.7,2433,5330
0.66,0.72,0.91,34689.0,-7.2,13.7,11.0,15.5,4.9,1130,2404
0.62,0.74,0.88,41487.0,29.3,7.9,13.4,21.3,5.3,1920,9622
0.48,0.54,0.75,83145.0,10.4,7.9,8.0,46.5,4.7,23255,35034
0.68,0.76,0.9,46634.0,3.7,12.9,11.5,20.4,6.0,9127,24045
0.53,0.57,0.78,101804.0,36.2,11.1,5.4,51.7,4.2,23427,69801
0.66,0.78,0.92,41543.0,1.8,12.0,12.4,13.5,5.2,1243,7054
0.45,0.49,0.72,62824.0,10.6,12.3,6.2,51.4,5.4,281875,110372
0.6,0.73,0.88,46332.0,13.2,11.6,11.1,20.0,5.7,1955,10465
0.68,0.78,0.93,41412.0,-9.3,9.3,13.3,9.0,6.0,138,1235
0.48,0.58,0.83,48691.0,9.2,11.4,10.3,29.6,5.3,11738,21482
0.72,0.79,0.91,45705.0,7.0,12.6,8.9,14.4,5.6,3176,15171
0.64,0.7,0.9,40234.0,-13.0,13.7,10.1,14.1,5.4,3005,6047
0.62,0.78,0.9,47194.0,15.6,9.9,10.4,25.8,6.0,3194,5488
0.48,0.51,0.73,67197.0,9.8,13.2,4.7,36.1,4.7,165063,146463
0.61,0.75,0.9,46828.0,7.0,11.3,11.0,18.7,5.3,2483,13184
0.61,0.71,0.86,55308.0,14.7,13.7,7.5,24.0,4.5,16153,51681
0.59,0.82,0.93,30616.0,11.5,7.6,13.0,8.8,8.3,2695,841
0.74,0.81,0.92,43196.0,5.9,11.8,13.6,14.0,5.8,1474,9579
0.57,0.67,0.85,70724.0,13.6,8.7,8.1,29.9,4.9,4082,11931
0.7,0.81,0.93,41247.0,4.9,11.1,13.4,15.1,5.3,2583,7285
0.69,0.8,0.92,41994.0,3.8,11.2,13.0,9.8,5.9,743,3370
0.49,0.56,0.78,67150.0,16.9,10.8,6.6,28.3,5.5,49902,45641
0.54,0.62,0.84,61795.0,9.3,13.6,7.7,27.3,5.3,22460,35351
0.61,0.73,0.93,35866.0,19.2,10.5,11.9,14.3,7.8,890,2711
0.62,0.72,0.87,55426.0,22.4,12.6,9.2,21.0,4.2,4469,21754
0.67,0.77,0.9,48473.0,3.9,11.7,9.6,10.8,4.8,1544,4353
0.64,0.76,0.92,35538.0,-5.7,14.3,12.8,10.0,6.3,901,4102
0.66,0.75,0.93,33680.0,-10.0,13.3,13.8,11.0,7.4,3809,3057
0.68,0.77,0.93,30611.0,-11.9,10.7,11.8,9.3,7.5,1108,1892
0.68,0.79,0.94,32201.0,-3.7,10.0,10.8,10.4,6.1,1136,2519
0.66,0.77,0.92,54155.0,3.0,10.7,9.0,20.1,4.8,3960,8304
0.65,0.78,0.91,44575.0,13.4,11.7,10.9,17.1,6.5,2267,5183
0.6,0.67,0.86,35690.0,8.5,14.2,7.2,16.4,5.7,805,1984
0.63,0.74,0.92,39037.0,-6.6,13.6,11.5,15.6,6.6,6737,12401
0.56,0.66,0.89,62972.0,-3.8,11.5,7.0,25.6,4.7,3166,10641
0.3,0.32,0.66,44154.0,-18.8,23.2,5.8,18.3,5.8,9531,6125
0.65,0.75,0.92,41494.0,16.6,11.0,10.3,13.5,5.9,1271,2759
0.45,0.49,0.75,44542.0,28.6,16.1,5.8,15.5,5.4,1356,2623
0.49,0.57,0.86,41331.0,2.1,13.8,7.2,25.6,5.3,14614,21308
0.53,0.71,0.89,47287.0,5.5,9.1,8.9,26.2,4.8,2216,9613
0.71,0.78,0.93,39642.0,-3.5,13.5,10.0,13.7,7.3,3699,5432
0.58,0.65,0.87,40788.0,3.5,7.8,9.4,15.6,5.8,2298,3482
0.69,0.77,0.91,31358.0,-14.7,10.2,11.0,8.6,8.2,2705,1540
0.67,0.77,0.9,47151.0,12.4,11.8,9.4,18.0,4.9,2423,9195
0.57,0.73,0.89,38734.0,-11.6,10.1,9.0,13.1,7.3,1213,1921
0.66,0.79,0.91,34508.0,-3.2,12.3,13.7,11.5,6.8,3800,5216
0.64,0.75,0.93,42771.0,10.1,10.4,15.2,12.3,5.4,622,1888
0.67,0.74,0.92,33490.0,-0.4,11.8,10.8,11.1,6.5,3492,4272
0.64,0.77,0.91,55626.0,7.8,10.3,10.4,26.3,5.1,3570,8821
0.59,0.71,0.92,39074.0,4.3,9.8,8.9,14.1,7.4,847,2668
0.66,0.78,0.91,55347.0,8.3,11.0,10.5,20.8,5.0,2658,6559
0.74,0.81,0.92,43203.0,-4.6,12.3,9.5,9.4,7.1,1799,10340
0.56,0.66,0.84,40895.0,-17.7,15.0,10.0,26.2,6.8,39602,26901
0.61,0.66,0.83,51167.0,10.7,12.8,7.8,19.6,6.0,21936,20907
0.56,0.68,0.86,88570.0,25.4,9.7,7.2,51.1,4.1,5253,12885
0.63,0.77,0.91,45319.0,-1.9,10.8,10.1,16.9,4.8,1829,4622
0.59,0.65,0.82,65480.0,17.3,12.2,5.8,24.1,4.6,18004,44646
0.56,0.71,0.88,44330.0,-3.4,11.0,10.5,19.4,7.0,5083,5405
0.69,0.75,0.89,57637.0,17.5,10.0,11.0,23.7,4.8,1977,11651
0.67,0.76,0.91,42908.0,-2.0,13.1,10.5,11.9,5.3,903,6301
0.7,0.78,0.91,56901.0,-1.1,8.8,9.3,15.9,5.2,1239,7273
0.76,0.82,0.92,42470.0,7.7,13.4,11.7,12.2,6.1,2863,11006
0.65,0.71,0.91,36611.0,-6.3,7.3,10.4,12.4,5.8,1104,2436
0.61,0.76,0.9,44785.0,10.7,10.9,11.9,22.2,7.0,2745,6516
0.56,0.72,0.91,30483.0,18.2,12.6,11.3,9.1,7.2,461,575
0.58,0.71,0.89,41913.0,19.8,9.4,14.2,24.8,5.9,1443,6287
0.56,0.69,0.91,31662.0,2.7,10.9,12.6,11.7,8.4,1597,1270
0.58,0.63,0.86,41128.0,-2.1,14.4,10.0,21.3,6.7,48707,24441
0.5,0.55,0.76,56689.0,3.7,11.4,7.9,26.5,5.8,23206,13463
0.65,0.75,0.93,43396.0,-9.2,9.6,6.4,12.9,6.3,401,1472
0.58,0.74,0.91,36414.0,-4.0,12.0,12.0,14.2,7.5,2300,3305
0.62,0.73,0.92,34986.0,-10.5,10.0,15.5,14.4,7.8,1186,2343
0.74,0.79,0.9,43065.0,10.7,12.7,11.8,16.4,6.8,9347,15636
0.64,0.75,0.9,37920.0,9.3,12.6,14.3,22.1,5.9,1835,7682
0.63,0.73,0.91,24945.0,18.3,6.7,11.1,11.2,6.4,1220,805
0.6,0.71,0.92,35764.0,-11.0,12.4,12.2,18.6,7.5,5520,5275
0.69,0.82,0.92,36482.0,-15.3,7.0,12.2,12.0,6.7,2001,1196
0.58,0.76,0.91,30133.0,-9.2,8.6,17.8,7.0,6.9,545,349
0.61,0.71,0.89,35567.0,-4.5,10.2,9.5,13.2,5.3,1678,5092
0.67,0.79,0.92,31637.0,-4.3,9.7,12.2,11.2,7.5,1295,2062
0.63,0.75,0.93,32327.0,-31.9,7.9,8.7,8.4,8.3,1313,2449
0.66,0.75,0.92,34018.0,-16.4,12.0,12.6,12.3,6.5,2267,1872
0.63,0.67,0.9,40199.0,2.5,12.3,11.2,23.1,6.2,7138,11225
0.62,0.69,0.91,39982.0,-3.5,14.0,10.1,16.5,5.4,3892,8680
0.62,0.73,0.91,36765.0,-4.1,14.4,11.2,15.8,7.8,2338,6612
0.48,0.68,0.88,42439.0,24.9,8.1,15.5,26.2,6.8,1206,5377
0.67,0.78,0.94,32100.0,-16.0,11.1,9.6,13.6,7.7,860,1808
0.68,0.79,0.92,42955.0,2.1,13.1,10.4,18.5,5.1,9597,15643
0.66,0.75,0.92,31969.0,-5.5,14.7,13.9,12.5,6.5,1243,2094
0.71,0.82,0.93,38507.0,-7.6,11.5,15.6,9.4,8.7,1970,2034
0.56,0.68,0.87,47948.0,34.8,7.7,13.4,22.4,4.7,1962,9849
0.71,0.82,0.92,34039.0,1.7,12.2,13.3,13.7,6.4,3471,7288
0.7,0.76,0.9,40814.0,-0.4,11.0,12.0,15.9,5.6,4213,18938
0.63,0.69,0.84,55267.0,14.4,11.7,9.1,19.9,4.9,8279,31093
0.57,0.69,0.9,34643.0,8.4,14.1,12.8,13.9,5.4,3436,8508
0.7,0.81,0.94,36789.0,2.4,9.7,17.3,13.4,6.9,1313,991
0.66,0.79,0.94,35542.0,-18.5,11.0,11.9,14.0,6.3,4187,4138
0.61,0.7,0.89,42017.0,16.2,13.3,11.7,12.9,6.8,2039,8147
0.62,0.72,0.91,36329.0,-9.5,10.7,7.2,11.7,8.6,471,630
0.63,0.76,0.93,29532.0,12.6,7.9,7.7,12.8,8.9,646,1421
0.62,0.73,0.9,44980.0,16.0,9.3,9.7,21.4,4.6,1672,9751
0.7,0.77,0.89,46796.0,0.7,13.7,8.3,15.7,6.1,7925,21514
0.62,0.71,0.91,33858.0,-4.1,10.3,13.4,11.4,7.2,852,2096
0.64,0.78,0.92,33735.0,-6.8,10.6,13.7,12.6,6.6,1844,2569
0.68,0.78,0.92,47309.0,-3.4,10.6,13.7,10.6,6.3,1893,2332
0.69,0.76,0.93,40122.0,-1.2,11.7,9.9,10.4,5.8,2015,6144
0.43,0.43,0.58,54684.0,7.9,12.0,8.8,29.5,3.7,41258,17500
0.46,0.46,0.5,80012.0,-4.4,13.2,7.4,34.3,2.8,175634,90296
0.41,0.41,0.56,63164.0,2.8,12.1,7.9,29.5,3.2,16456,7574
0.43,0.43,0.55,69699.0,5.2,11.5,7.0,26.6,3.1,33479,13445
0.47,0.49,0.73,61571.0,22.0,11.6,6.8,37.8,3.3,75676,93748
0.27,0.49,0.71,42310.0,14.8,7.9,10.0,19.1,7.0,415,1556
0.44,0.53,0.77,48453.0,0.6,14.5,8.3,27.2,3.6,10342,17180
0.51,0.63,0.86,45875.0,3.9,13.4,9.3,20.3,4.6,255,2203
0.6,0.65,0.81,45285.0,6.0,11.9,15.0,15.1,6.0,780,3101
0.54,0.58,0.8,51586.0,-1.8,15.4,8.0,20.7,3.5,2924,10907
0.34,0.39,0.65,66210.0,11.1,9.9,5.2,38.2,3.2,6416,3340
0.41,0.51,0.72,50123.0,18.8,6.7,8.0,27.2,5.3,777,2673
0.41,0.48,0.66,48097.0,19.0,9.7,10.9,23.1,5.4,5140,10220
0.47,0.52,0.76,59293.0,11.0,17.5,7.5,30.1,3.2,8930,26699
0.35,0.48,0.66,42725.0,29.0,13.0,9.1,19.0,5.3,933,3789
0.25,0.53,0.78,41706.0,1.6,10.9,8.9,18.2,4.2,160,914
0.27,0.5,0.72,49153.0,8.4,9.3,6.5,19.5,3.6,110,410
0.52,0.55,0.77,48461.0,13.5,15.1,7.2,18.3,4.4,16683,46755
0.49,0.58,0.83,55152.0,14.9,12.6,8.5,19.9,3.6,271,2275
0.45,0.55,0.82,48983.0,-7.2,15.7,8.7,18.6,3.0,1036,5949
0.31,0.52,0.78,42050.0,-23.9,10.2,5.7,15.5,3.3,44,203
0.26,0.55,0.78,43626.0,16.0,7.3,12.9,16.9,7.4,704,2852
0.24,0.3,0.76,45591.0,9.8,9.6,13.5,23.0,5.2,427,1777
0.34,0.41,0.57,45003.0,1.6,17.2,7.7,16.4,4.2,1814,5816
0.57,0.65,0.85,54427.0,18.9,15.1,6.2,18.1,3.1,385,3901
0.41,0.57,0.81,46465.0,3.8,13.7,9.3,20.9,3.4,651,4091
0.56,0.58,0.78,42027.0,17.0,12.5,13.0,14.8,4.7,1229,5980
0.47,0.57,0.79,46948.0,-8.3,14.2,8.9,15.2,3.1,930,3743
0.29,0.49,0.78,42049.0,-1.2,9.7,12.4,20.2,5.7,1196,6441
0.5,0.56,0.8,61156.0,15.4,17.0,6.5,22.6,3.1,976,8436
0.5,0.52,0.79,48590.0,7.9,17.8,7.7,14.9,3.2,2117,7347
0.5,0.54,0.7,52019.0,21.3,12.0,8.8,24.9,4.7,16264,44449
0.35,0.44,0.74,43767.0,0.6,11.4,5.8,45.1,3.2,8093,7255
0.33,0.35,0.71,39934.0,-0.6,11.0,13.9,21.1,6.2,733,3011
0.4,0.53,0.79,41092.0,16.7,11.0,12.0,17.3,6.3,270,1202
0.35,0.52,0.79,47754.0,-10.0,13.0,8.5,10.1,4.5,360,1184
0.26,0.28,0.59,41199.0,0.8,27.8,3.2,36.4,2.4,1201,8941
0.48,0.58,0.81,48903.0,2.7,14.8,7.5,13.4,3.2,1167,4887
0.51,0.63,0.83,50030.0,4.6,12.2,12.7,21.9,3.3,4828,10699
0.39,0.63,0.84,46596.0,10.3,11.9,9.6,15.5,3.6,184,1531
0.13,0.56,0.79,35866.0,2.3,12.2,7.6,11.2,4.6,591,3052
0.48,0.59,0.8,46595.0,2.2,12.6,10.1,14.2,4.7,892,4306
0.49,0.57,0.79,45933.0,-5.7,16.2,9.0,15.9,4.1,699,1666
0.54,0.62,0.78,39285.0,1.4,12.4,15.8,11.6,7.2,1384,3297
0.35,0.38,0.6,60745.0,28.0,13.9,3.7,41.5,3.2,2157,2161
0.42,0.48,0.79,49415.0,13.2,14.5,9.4,20.6,3.4,6844,21063
0.21,0.45,0.68,58738.0,35.4,9.0,6.8,30.1,5.5,1913,2906
0.35,0.57,0.79,41647.0,15.0,11.1,11.7,14.8,5.5,776,3283
0.61,0.69,0.88,51130.0,-5.7,12.7,12.0,24.8,4.8,7633,22732
0.58,0.63,0.89,33344.0,-43.0,12.3,15.3,11.3,9.3,1262,1496
0.61,0.71,0.88,53631.0,-6.2,8.8,11.3,21.8,5.1,2066,4884
0.61,0.73,0.84,62081.0,-3.4,10.7,7.5,23.2,6.4,8952,12261
0.69,0.79,0.91,51826.0,-20.6,8.8,6.3,13.7,3.4,475,1776
0.61,0.72,0.87,53410.0,-1.3,10.6,12.2,19.7,6.0,6010,9264
0.78,0.83,0.92,50952.0,1.4,9.5,9.3,13.6,6.2,739,1719
0.63,0.72,0.87,50330.0,-0.7,9.9,12.4,18.1,5.6,2437,4428
0.65,0.75,0.88,47511.0,-15.8,14.0,12.5,14.6,5.5,1617,3216
0.41,0.47,0.81,51032.0,-1.8,11.4,6.2,44.4,5.1,49694,33235
0.68,0.79,0.91,49324.0,-4.8,10.5,13.0,16.6,6.4,3982,10522
0.67,0.75,0.9,49937.0,0.9,11.5,12.9,17.6,5.8,1873,5620
0.68,0.79,0.92,43478.0,-4.4,12.1,14.1,15.2,6.8,1014,5009
0.7,0.79,0.91,61013.0,-4.5,11.5,8.7,22.5,4.5,3939,12394
0.5,0.58,0.89,42066.0,-7.7,10.2,10.1,25.6,5.9,7285,12985
0.63,0.66,0.79,60025.0,-8.9,12.9,7.7,38.0,6.0,1528582,440213
0.63,0.69,0.88,46374.0,-5.2,11.3,12.4,16.6,6.2,1969,6146
0.69,0.77,0.91,49733.0,-0.5,11.4,10.0,15.8,5.2,1028,4200
0.45,0.71,0.85,59586.0,-6.0,11.0,6.7,31.4,5.4,20348,19051
0.65,0.71,0.88,54926.0,-2.0,11.3,12.2,21.3,5.7,1907,5072
0.63,0.71,0.88,55891.0,-9.9,13.8,9.5,19.0,4.7,1946,5695
0.62,0.65,0.79,84999.0,-7.5,11.6,6.7,48.8,4.7,222499,164355
0.7,0.77,0.91,47062.0,-0.6,10.1,14.4,16.7,6.0,1778,5634
0.69,0.77,0.92,48884.0,1.8,11.8,9.8,13.9,5.8,432,2777
0.63,0.74,0.9,51809.0,-3.7,13.5,10.5,22.5,4.7,3071,13613
0.66,0.78,0.91,46290.0,-22.2,11.6,11.0,11.7,6.6,1814,7363
0.61,0.73,0.87,51861.0,-9.9,11.1,14.6,20.2,5.5,1410,4474
0.7,0.77,0.91,40246.0,-6.6,12.2,13.1,15.9,8.1,4711,13101
0.69,0.76,0.9,49503.0,-2.7,9.7,14.0,17.6,7.4,6118,8482
0.72,0.79,0.93,39634.0,-10.6,10.8,12.5,9.9,7.6,656,1942
0.74,0.79,0.91,44378.0,-13.1,10.1,14.0,12.4,5.8,1202,4139
0.59,0.74,0.86,71969.0,-5.5,12.1,7.7,23.6,6.7,8021,13417
0.7,0.79,0.93,47855.0,-6.1,11.3,12.8,18.3,6.3,800,3205
0.63,0.71,0.88,51721.0,-0.2,10.9,11.4,21.3,6.5,1744,5713
0.69,0.76,0.92,39143.0,-11.4,8.7,16.1,11.2,9.7,419,1650
0.65,0.73,0.88,47792.0,-13.1,9.1,12.0,15.4,6.1,1151,2153
0.62,0.7,0.87,55287.0,-3.0,11.3,10.9,22.6,6.0,8835,13962
0.61,0.73,0.87,47589.0,-9.5,11.2,14.2,15.4,5.5,2496,9728
0.38,0.47,0.86,34982.0,-12.7,11.9,7.3,36.0,5.4,11619,10889
0.68,0.78,0.93,51120.0,-6.0,11.9,11.2,17.5,6.3,924,3973
0.63,0.72,0.9,45746.0,-3.2,13.1,11.0,17.4,6.4,4408,11681
0.72,0.76,0.87,57243.0,-12.4,9.1,11.1,20.5,5.8,2673,7737
0.59,0.7,0.87,54169.0,-7.7,8.0,10.9,23.8,5.4,4452,6113
0.66,0.72,0.9,48359.0,-25.0,8.6,9.3,16.5,8.7,1135,4644
0.67,0.71,0.82,73684.0,-2.6,12.6,6.0,33.1,5.5,99389,82087
0.54,0.7,0.85,54624.0,-7.8,12.0,10.4,21.0,6.4,18908,25081
0.63,0.68,0.82,91952.0,5.0,13.0,4.6,35.4,5.1,23392,24152
0.6,0.67,0.86,43277.0,-6.0,11.1,13.6,18.5,6.2,9939,10658
0.59,0.66,0.78,83344.0,-5.1,10.9,6.3,45.0,5.2,168186,108608
0.62,0.76,0.87,56543.0,-6.9,11.5,12.0,17.9,6.8,19277,26269
0.68,0.74,0.91,44774.0,-13.1,9.7,14.4,13.5,7.4,1288,4517
0.63,0.74,0.86,55563.0,-0.1,9.7,10.5,17.7,5.1,5499,8597
0.62,0.75,0.88,54339.0,-13.2,11.0,11.7,15.7,5.4,4005,10197
0.61,0.7,0.89,53052.0,-2.4,10.3,11.9,20.4,5.3,3301,8167
0.35,0.47,0.87,44460.0,-15.8,8.7,10.8,32.4,6.3,5278,6789
0.45,0.7,0.82,81570.0,-4.8,10.3,6.7,33.7,5.2,59827,71117
0.43,0.53,0.84,64271.0,-5.4,12.0,6.7,44.8,5.1,35918,37081
0.63,0.68,0.88,47786.0,-9.9,12.6,11.5,22.5,6.6,18211,26782
0.66,0.76,0.9,52483.0,-1.6,10.0,12.4,19.4,6.0,6532,14194
0.66,0.72,0.88,56297.0,-2.2,11.6,10.5,25.8,5.9,50336,70295
0.64,0.77,0.9,45698.0,-7.4,13.1,13.8,15.0,6.4,4231,11677
0.66,0.74,0.88,54807.0,-0.7,11.0,14.0,16.8,6.6,1784,3776
0.69,0.77,0.9,46962.0,-8.9,10.0,14.7,15.4,7.1,2008,4051
0.7,0.76,0.92,42833.0,-4.9,11.2,15.0,13.2,7.1,1555,4844
0.63,0.73,0.88,62966.0,3.6,9.8,9.9,23.1,4.6,1808,4230
0.68,0.74,0.89,56661.0,-5.4,8.7,12.5,17.8,6.2,3061,4800
0.71,0.75,0.89,83139.0,2.9,10.5,8.3,32.5,4.1,5522,12614
0.66,0.77,0.9,46997.0,-2.2,10.5,12.7,15.6,7.1,3490,8616
0.59,0.71,0.88,48600.0,0.0,10.0,11.4,19.9,4.9,4693,9060
0.64,0.72,0.89,57447.0,-9.2,12.9,13.0,19.5,4.6,1476,4453
0.62,0.73,0.85,58812.0,-9.2,10.6,9.5,20.0,5.9,8025,14344
0.57,0.64,0.85,52380.0,-11.9,14.1,9.9,30.4,6.9,37436,35299
0.7,0.78,0.91,48423.0,-5.2,10.3,10.9,11.7,7.1,2433,6816
0.62,0.69,0.87,65797.0,9.2,11.1,9.6,27.9,4.9,2633,5623
0.66,0.78,0.91,41671.0,-1.6,11.8,13.6,15.1,5.1,1412,5749
0.64,0.71,0.9,42917.0,-18.4,5.9,13.0,13.4,6.9,374,1678
0.63,0.69,0.91,35875.0,-6.2,12.1,15.1,12.3,8.5,817,1583
